"9353",IN_6_0:IN_6_3-x,45746600,28100
"9353",IN_6_3-x:IN_7_3-y,45774700,11500
"8022",IN_4_0:IN_4_3-x,39313900,31300
"8022",IN_4_3-x:IN_5_3-x,39345200,56200
"8022",IN_5_3-x:IN_6_3-x,39401400,7500
"8022",IN_6_3-x:IN_7_3-y,39408900,11600
"7924",IN_4_0:IN_4_3-x,38811200,27600
"7924",IN_4_3-x:IN_5_3-x,38838800,56200
"7924",IN_5_3-x:IN_6_3-x,38895000,7500
"7924",IN_6_3-x:IN_7_3-y,38902500,11600
"2671",IN_4_0:IN_4_3-x,13024600,27600
"2671",IN_4_3-x:IN_5_3-x,13052200,56200
"2671",IN_5_3-x:IN_6_3-x,13108400,7500
"2671",IN_6_3-x:IN_7_3-y,13115900,11600
"2671",IN_7_3-y:y-S1_0,13127500,52900
"2671",y-S1_0:z-x,13180400,100700
"2671",z-x:IN_1_3-x,13281100,8800
"2671",IN_1_3-x:IN_2_3-x,13289900,2200
"2671",IN_2_3-x:IN_3_3-x,13292100,3000
"2671",IN_3_3-x:IN_4_3-x,13295100,2200
"2671",IN_4_3-x:IN_5_3-x,13297300,56300
"2671",IN_5_3-x:IN_6_3-x,13353600,7500
"2671",IN_6_3-x:IN_7_3-y,13361100,11600
"2671",IN_7_3-y:y-S1_0,13372700,52900
"2671",y-S1_0:y-S2_0,13425600,1300
"2671",y-S2_0:y-S3_0,13426900,1300
"4327",IN_7_0:IN_7_3-y,21221200,21800
"9486",IN_6_0:IN_6_3-x,46394300,27200
"9486",IN_6_3-x:IN_7_3-y,46421500,11500
"1470",IN_4_0:IN_4_3-x,7142000,27600
"1470",IN_4_3-x:IN_5_3-x,7169600,56200
"1470",IN_5_3-x:IN_6_3-x,7225800,7500
"1470",IN_6_3-x:IN_7_3-y,7233300,11600
"194",IN_5_0:IN_5_3-x,978300,33400
"194",IN_5_3-x:IN_6_3-x,1011700,7400
"194",IN_6_3-x:IN_7_3-y,1019100,11600
"6728",IN_7_0:IN_7_3-y,32913300,21800
"6728",IN_7_3-y:y-S1_0,32935100,52800
"6728",y-S1_0:z-x,32987900,101300
"6728",z-x:IN_1_3-x,33089200,8800
"6728",IN_1_3-x:IN_2_3-x,33098000,2200
"6728",IN_2_3-x:IN_3_3-x,33100200,3000
"6728",IN_3_3-x:IN_4_3-x,33103200,2200
"6728",IN_4_3-x:IN_5_3-x,33105400,56300
"6728",IN_5_3-x:IN_6_3-x,33161700,7500
"6728",IN_6_3-x:IN_7_3-y,33169200,11600
"6728",IN_7_3-y:y-S1_0,33180800,52900
"6728",y-S1_0:y-S2_0,33233700,1300
"6728",y-S2_0:y-S3_0,33235000,1300
"3129",IN_1_0:IN_1_3-x,15288600,63000
"3129",IN_1_3-x:IN_2_3-x,15351600,2100
"3129",IN_2_3-x:IN_3_3-x,15353700,3000
"3129",IN_3_3-x:IN_4_3-x,15356700,2200
"3129",IN_4_3-x:IN_5_3-x,15358900,56300
"3129",IN_5_3-x:IN_6_3-x,15415200,7500
"3129",IN_6_3-x:IN_7_3-y,15422700,11600
"3129",IN_7_3-y:y-S1_0,15434300,52900
"3129",y-S1_0:z-x,15487200,200800
"3129",z-x:IN_1_3-x,15688000,8800
"3129",IN_1_3-x:IN_2_3-x,15696800,2200
"3129",IN_2_3-x:IN_3_3-x,15699000,3000
"3129",IN_3_3-x:IN_4_3-x,15702000,2200
"3129",IN_4_3-x:IN_5_3-x,15704200,56300
"3129",IN_5_3-x:IN_6_3-x,15760500,7500
"3129",IN_6_3-x:IN_7_3-y,15768000,11600
"3129",IN_7_3-y:y-S1_0,15779600,52900
"3129",y-S1_0:y-S2_0,15832500,1300
"3129",y-S2_0:y-S3_0,15833800,1300
"8158",IN_7_0:IN_7_3-y,39929800,23100
"8158",IN_7_3-y:y-S1_0,39952900,52800
"8025",IN_7_0:IN_7_3-y,39313900,21800
"9223",IN_2_0:IN_2_3-x,45085700,231400
"9223",IN_2_3-x:IN_3_3-x,45317100,2900
"9223",IN_3_3-x:IN_4_3-x,45320000,2200
"9223",IN_4_3-x:IN_5_3-x,45322200,56300
"9223",IN_5_3-x:IN_6_3-x,45378500,7500
"9223",IN_6_3-x:IN_7_3-y,45386000,11600
"9356",IN_2_0:IN_2_3-x,45746600,230000
"9356",IN_2_3-x:IN_3_3-x,45976600,2900
"9356",IN_3_3-x:IN_4_3-x,45979500,2200
"9356",IN_4_3-x:IN_5_3-x,45981700,56300
"9356",IN_5_3-x:IN_6_3-x,46038000,7500
"9356",IN_6_3-x:IN_7_3-y,46045500,11600
"7927",IN_7_0:IN_7_3-y,38811200,21800
"4326",IN_3_0:IN_3_3-x,21221200,22700
"4326",IN_3_3-x:IN_4_3-x,21243900,2100
"4326",IN_4_3-x:IN_5_3-x,21246000,56300
"4326",IN_5_3-x:IN_6_3-x,21302300,7500
"4326",IN_6_3-x:IN_7_3-y,21309800,11600
"4459",IN_3_0:IN_3_3-x,21863400,22600
"4459",IN_3_3-x:IN_4_3-x,21886000,2100
"4459",IN_4_3-x:IN_5_3-x,21888100,56300
"4459",IN_5_3-x:IN_6_3-x,21944400,7500
"4459",IN_6_3-x:IN_7_3-y,21951900,11600
"4459",IN_7_3-y:y-S1_0,21963500,52900
"4459",y-S1_0:z-x,22016400,98400
"4459",z-x:IN_1_3-x,22114800,8800
"4459",IN_1_3-x:IN_2_3-x,22123600,2200
"4459",IN_2_3-x:IN_3_3-x,22125800,3000
"4459",IN_3_3-x:IN_4_3-x,22128800,2200
"4459",IN_4_3-x:IN_5_3-x,22131000,56300
"4459",IN_5_3-x:IN_6_3-x,22187300,7500
"4459",IN_6_3-x:IN_7_3-y,22194800,11600
